"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, UNECE, Europe","DNK","Denmark","2015-2020",0,100,0,0,"1.37","1.37","0.00","0.62","3.58"
"North and Central America","DOM","Dominican Republic","1990-2000",0,0,100,0,"38.38","2.78","35.60","0.62","0.17"
"North and Central America","DOM","Dominican Republic","2000-2010",0,0,100,0,"10.32","6.49","3.33","0.25","0.17"
"North and Central America","DOM","Dominican Republic","2010-2015",0,0,100,0,"24.60","6.71","17.89","18.49","0.10"
"North and Central America","DOM","Dominican Republic","2015-2020",0,0,100,0,,,,,"0.10"
"Africa","DZA","Algeria","1990-2000",0,0,0,100,"6.00",,,"14.80","59.00"
"Africa","DZA","Algeria","2000-2010",0,0,0,100,"48.40",,,"14.50","219.00"
"Africa","DZA","Algeria","2010-2015",0,0,0,100,"9.00",,,"1.40","167.00"
"Africa","DZA","Algeria","2015-2020",0,0,0,100,"4.00",,,"5.40","42.00"
"South America, International Tropical Timber Organization","ECU","Ecuador","1990-2000",0,0,100,0,"39.77",,,"129.94",
"South America, International Tropical Timber Organization","ECU","Ecuador","2000-2010",0,0,100,0,"34.85",,,"105.08",
"South America, International Tropical Timber Organization","ECU","Ecuador","2010-2015",0,0,100,0,"54.33",,,"96.13","84.72"
"South America, International Tropical Timber Organization","ECU","Ecuador","2015-2020",0,0,100,0,"22.95",,,"87.22","30.00"
"Africa","EGY","Egypt","1990-2000",0,0,18,82,,,,,
"Africa","EGY","Egypt","2000-2010",0,0,18,82,,,,,
"Africa","EGY","Egypt","2010-2015",0,0,18,82,,,,,
"Africa","EGY","Egypt","2015-2020",0,0,18,82,,,,,
"Africa","ERI","Eritrea","1990-2000",0,0,100,0,,,,,
"Africa","ERI","Eritrea","2000-2010",0,0,100,0,,,,,"1.50"
"Africa","ERI","Eritrea","2010-2015",0,0,100,0,,,,,"1.61"
"Africa","ERI","Eritrea","2015-2020",0,0,100,0,,,,,"0.88"
"Africa","ESH","Western Sahara","1990-2000",0,0,100,0,,,,,
"Africa","ESH","Western Sahara","2000-2010",0,0,100,0,,,,,
"Africa","ESH","Western Sahara","2010-2015",0,0,100,0,,,,,
"Africa","ESH","Western Sahara","2015-2020",0,0,100,0,,,,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain","1990-2000",0,32,0,68,,"133.78","185.15",,"90.94"
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain","2000-2010",0,32,0,68,"150.84","40.77","110.07","5.70","34.96"
